1,10,23,29,33,37,40,16,0,143934100,5140500,113400,10000
2,9,13,21,25,32,42,2,2002006800,94866800,1842000,100800,10000
3,11,16,19,21,27,31,30,2000000000,0,1174100,54900,10000
4,14,27,30,31,40,42,2,0,211191200,7282400,152100,10000
5,16,24,29,40,41,42,3,0,0,6033800,166500,10000
6,14,15,26,27,40,42,34,6574451700,196297600,4267300,87600,10000
7,2,9,16,25,26,40,42,0,48165000,1605500,65500,10000
8,8,19,25,34,37,39,9,0,131555000,2268100,110500,10000
9,2,4,16,17,36,39,14,0,769456500,8743800,260000,10000
10,9,25,30,33,41,44,6,6430437900,40813400,856400,27300,10000
11,1,7,36,37,41,42,14,4780152300,362132700,9307100,206800,10000
12,2,11,21,25,39,45,44,1348845700,99914400,1417500,70200,10000
13,22,23,25,37,38,42,26,0,433309300,5777400,175600,10000
14,2,6,12,31,33,40,15,9375048300,130363400,2568700,93900,10000
15,3,4,16,30,31,37,13,17014245000,177231700,5571100,144600,10000
16,6,7,24,37,38,40,33,4377146100,243174700,3385200,123500,10000
17,3,4,9,17,32,37,1,5349491200,297193900,2342100,86700,10000
18,3,12,13,19,32,35,29,0,175017300,3953700,136500,10000
19,6,30,38,39,40,43,26,40722959400,297278500,5971100,150900,10000
20,10,14,18,20,23,30,41,19352212800,230383400,3632100,133900,10000
21,6,12,17,18,31,32,21,797475400,117576500,1522400,73600,10000
22,4,5,6,8,17,39,25,4552194900,94837300,3669600,113900,10000
23,5,13,17,18,33,42,44,4317947700,125157900,2098100,90300,10000
24,7,8,27,29,36,43,6,0,176023700,3425300,120000,10000
25,2,4,21,26,43,44,16,24227745300,175267400,4417100,166600,10000
26,4,5,7,18,20,25,31,3495069900,74680900,2173500,80600,10000
27,1,20,26,28,37,43,27,9543982500,198832900,5494500,189800,10000
28,9,18,23,25,35,37,1,1700361100,128815200,2434600,97900,10000
29,1,5,13,34,39,40,11,3552594000,174146700,3936800,139800,10000
30,8,17,20,35,36,44,4,8728555500,132250800,3336600,137500,10000
